"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1,096462502E-2;-8,402292662E-2;6,259590536E-2;2,553999478E-1;2,760565755E-1
2,090362500E-2;-4,199930750E-2;7,559748173E-2;1,312770081E-1;1,572023343E-1
3,084162500E-2;1,276613457E-2;8,344999999E-2;-3,334667087E-3;8,448666578E-2
4,077962501E-2;-3,641326139E-3;5,954395115E-2;-5,471356630E-2;8,094637554E-2
5,071862502E-2;-8,476213345E-2;-7,333636343E-2;-2,534007847E-2;1,149128411E-1
6,065600002E-2;-1,107250957E-1;-2,543398476E-1;4,030485749E-2;2,803092692E-1
7,059500000E-2;-5,200193832E-2;-2,038807154E-1;1,444244725E-1;2,552057522E-1
8,053300000E-2;-6,653198599E-2;-1,253926626E-1;1,680039543E-1;2,199435238E-1
9,047100000E-2;-4,852917644E-2;-8,555470526E-2;9,923777461E-2;1,397241012E-1
1,004100000E-1;4,615264873E-2;-1,243176520E-1;1,664760768E-2;1,336491243E-1
1,103480000E-1;1,809975638E-1;6,907929808E-2;-8,925599277E-2;2,133042423E-1
1,202870000E-1;4,595131265E-1;-1,851813197E-2;-1,618392348E-1;4,875317144E-1
1,302250000E-1;4,474078918E-1;-3,595982078E-1;-1,687792951E-1;5,983068971E-1
1,401630000E-1;8,056291899E-2;-4,953714323E-1;-1,043844938E-1;5,126200956E-1
1,501020000E-1;-1,802218210E-1;-4,962201557E-1;1,242796451E-1;5,423649858E-1
1,600400000E-1;-3,305363034E-1;-6,775849977E-1;2,833747816E-1;8,054048323E-1
1,699790000E-1;-3,799155645E-1;-8,915702865E-1;2,296441323E-1;9,959768267E-1
1,799170000E-1;-4,264944479E-1;-8,472191557E-1;-3,357471228E-3;9,485194171E-1
1,898550000E-1;-3,657681166E-1;-9,623835763E-1;-4,768065226E-1;1,134598133E0
1,997940000E-1;-3,302381685E-1;-1,185146120E0;-5,102256989E-1;1,331900461E0
2,097320000E-1;-1,733222893E-1;-1,067898629E0;1,756719929E-1;1,096042311E0
2,196710000E-1;-6,754164938E-2;-1,065497470E0;5,480928522E-1;1,200105207E0
2,296090000E-1;-1,253577803E-1;-1,109837199E0;4,922075039E-1;1,220541440E0
2,395470000E-1;-1,820634381E-1;-1,115008184E0;7,292594737E-1;1,344696890E0
2,494860000E-1;-1,943028848E-1;-1,121292187E0;1,046763284E0;1,546209284E0
2,594240000E-1;-1,220002086E-1;-1,166053500E0;1,209819324E0;1,684704013E0
2,693630000E-1;-1,109329277E-1;-1,311341313E0;1,336568833E0;1,875723434E0
2,793010000E-1;-1,500059230E-1;-1,525847004E0;1,342714841E0;2,038036801E0
2,892390000E-1;-1,435051074E-1;-1,742242223E0;1,378485183E0;2,226257640E0
2,991780000E-1;1,371717689E-1;-1,854791476E0;7,975309789E-1;2,023641069E0
3,091160000E-1;3,204760227E-2;-1,572498137E0;-2,948883585E0;3,342108891E0
3,190550000E-1;-1,772075265E-1;-1,341867580E0;-4,765694765E0;4,954175784E0
3,289930000E-1;-3,385663578E-1;-2,064062740E0;-3,553537724E0;4,123422429E0
3,389310000E-1;-5,654685844E-1;-1,401420594E0;1,227330565E0;1,946811423E0
3,488700000E-1;1,459292899E-1;-8,228274956E-1;4,933019857E0;5,003301446E0
3,588080000E-1;2,545729870E-1;-1,662250559E0;2,550763628E0;3,055205298E0
3,687470000E-1;-1,472847659E-1;-2,234279281E0;1,652832448E-2;2,239189561E0
3,786850000E-1;-1,676214916E-2;-2,337771782E0;-7,499083310E-1;2,455161986E0
3,886230000E-1;-4,984970249E-1;-6,632607812E-1;8,245562249E-1;1,169746603E0
3,985620000E-1;-3,594002064E-1;-4,163214621E-1;3,517755103E-1;6,528691123E-1
4,085000000E-1;3,176144685E-1;-2,283903138E0;-3,441419703E0;4,142518807E0
4,184380000E-1;-2,755865096E-1;-2,094541644E0;-1,397898524E0;2,533213948E0
4,283770000E-1;-4,570218837E-1;-1,868847013E0;1,261414570E0;2,300570555E0
4,383150000E-1;2,185650656E-1;-2,134844747E0;6,058165652E-1;2,229875892E0
4,482540000E-1;-1,741612368E-1;-1,614300759E0;1,991241809E0;2,569307887E0
4,581920000E-1;-2,101579755E-1;-1,475733735E0;-8,336439675E-1;1,707898913E0
4,681300000E-1;-3,301488889E-1;-1,329083228E0;-1,154329832E0;1,791071712E0
4,780690000E-1;-3,272260850E-1;-1,957092023E0;-5,944864154E-2;1,985149928E0
4,880070000E-1;-2,013010883E-2;-2,405284903E0;6,354888457E-1;2,487900070E0
4,979460000E-1;-3,656032800E-2;-2,341585043E0;1,162100782E0;2,614351813E0
5,078840000E-1;2,950515982E-2;-2,250843565E0;1,119098604E-2;2,251064759E0
5,178220000E-1;-9,697983574E-2;-1,882415770E0;-2,644502681E-1;1,903372839E0
5,277610000E-1;-1,142341743E-1;-1,717607611E0;-5,423953253E-1;1,804831860E0
5,376990000E-1;-1,647748477E-1;-1,672533472E0;-3,225464487E-1;1,711302188E0
5,476380000E-1;1,276233388E-2;-2,020688094E0;-1,104129732E-2;2,020758561E0
5,575760000E-1;8,183867181E-2;-2,213706729E0;9,299166191E-1;2,402486206E0
5,675140000E-1;1,143186757E-1;-1,981031401E0;6,179746807E-1;2,078327904E0
5,774530000E-1;-8,518760975E-2;-1,798138973E0;5,884450722E-1;1,893892367E0
5,873910000E-1;-8,933641026E-2;-2,070980581E0;-8,118888170E-1;2,226231123E0
5,973300000E-1;-5,478797212E-2;-2,183364650E0;-5,697743279E-1;2,257149907E0
6,072680000E-1;-2,140156577E-1;-2,289677263E0;9,939184874E-1;2,505254205E0
6,172060000E-1;-1,412528330E-1;-2,370798902E0;3,477210510E-1;2,400322838E0
6,271450000E-1;-2,650653770E-1;-2,134478711E0;-1,658375609E-1;2,157257778E0
6,370830000E-1;-3,626175272E-1;-1,821118239E0;-2,070463979E-1;1,868376654E0
6,470220000E-1;-3,246696458E-1;-2,107126606E0;7,518794274E-1;2,260689184E0
6,569600000E-1;-3,054680840E-1;-2,379362150E0;4,933763623E-1;2,449100901E0
6,668980000E-1;-1,337989487E-1;-1,697275088E0;-4,056155026E-1;1,750191081E0
6,768370000E-1;-4,370993967E-1;-1,698038150E0;1,429983366E-1;1,759215156E0
6,867750000E-1;-3,640856900E-1;-1,735676092E0;-6,402455556E-1;1,885482500E0
6,967140000E-1;4,841944796E-1;-1,161784155E0;5,010923481E-1;1,354725160E0
7,066520000E-1;1,521778687E1;3,687096082E1;8,902240235E0;4,086928761E1
7,165900000E-1;1,437777704E1;3,670432687E1;1,206697963E1;4,122547854E1
7,265290000E-1;-3,273949892E0;-6,289701358E0;-1,276202179E1;1,459959901E1
7,364670000E-1;-4,803538822E-1;-7,006855926E-1;-1,038724415E1;1,042192598E1
7,464060000E-1;1,098698911E0;3,469044581E0;-7,185493042E0;8,054360301E0
7,563440000E-1;-7,149382392E0;1,785874965E1;1,454904900E1;2,411894348E1
7,662820000E-1;-7,569810061E0;6,917760147E0;6,206395492E0;1,198652472E1
7,762210000E-1;-1,815227315E0;3,075222912E0;-5,431274552E0;6,500060724E0
7,861590000E-1;-4,128583609E0;-1,731009722E-2;-2,803911813E0;4,990733785E0
7,960980000E-1;-2,790100690E0;-6,515950012E-1;6,550910515E-1;2,939112484E0
8,060360000E-1;8,657676932E-1;4,121369022E-1;7,808909726E-1;1,236608764E0
8,159740000E-1;-2,877588595E-1;-1,498281768E-1;3,002715392E0;3,020190949E0
8,259130000E-1;-4,269568530E-1;-1,212335381E-1;-1,699220749E0;1,756229165E0
8,358510000E-1;-8,898046101E-2;7,186052620E-2;-7,788122874E-1;7,871658254E-1
8,457900000E-1;1,039840875E-1;1,290185210E-1;1,089577181E0;1,102105668E0
8,557280000E-1;-2,466557108E-1;3,596710056E-2;3,716724157E-1;4,475187780E-1
8,656660000E-1;-2,403293341E-1;5,767401159E-2;-3,336070418E-2;2,493940999E-1
8,756050000E-1;-1,216075406E-1;1,022014359E-1;1,177284247E-1;1,977207865E-1
8,855430000E-1;-1,923123281E-1;1,444133627E-1;-1,384913027E-1;2,775231374E-1
8,954820000E-1;-1,308075863E-1;1,867010111E-1;2,135180962E-1;3,123425516E-1
9,054200000E-1;-1,615706466E-1;1,285524979E-1;4,366513538E-1;4,830064424E-1
9,153580000E-1;-1,609280011E-1;1,073338294E-1;-6,008540332E-2;2,025552472E-1
9,252970000E-1;-1,220956187E-1;1,448808476E-1;-1,944544190E-1;2,714964478E-1
9,352350000E-1;-1,437292020E-1;1,000300723E-1;2,877794892E-1;3,368696087E-1
