Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"0,01096463","-0,08402293","0,06259591","0,25539995","0,27605658"
"0,02090363","-0,04199931","0,07559748","0,13127701","0,15720233"
"0,03084163","0,01276613","0,08345000","-0,00333467","0,08448667"
"0,04077963","-0,00364133","0,05954395","-0,05471357","0,08094638"
"0,05071863","-0,08476213","-0,07333636","-0,02534008","0,11491284"
"0,06065600","-0,11072510","-0,25433985","0,04030486","0,28030927"
"0,07059500","-0,05200194","-0,20388072","0,14442447","0,25520575"
"0,08053300","-0,06653199","-0,12539266","0,16800395","0,21994352"
"0,09047100","-0,04852918","-0,08555471","0,09923777","0,13972410"
"0,10041000","0,04615265","-0,12431765","0,01664761","0,13364912"
"0,11034800","0,18099756","0,06907930","-0,08925599","0,21330424"
"0,12028700","0,45951313","-0,01851813","-0,16183923","0,48753171"
"0,13022500","0,44740789","-0,35959821","-0,16877930","0,59830690"
"0,14016300","0,08056292","-0,49537143","-0,10438449","0,51262010"
"0,15010200","-0,18022182","-0,49622016","0,12427965","0,54236499"
"0,16004000","-0,33053630","-0,67758500","0,28337478","0,80540483"
"0,16997900","-0,37991556","-0,89157029","0,22964413","0,99597683"
"0,17991700","-0,42649445","-0,84721916","-0,00335747","0,94851942"
"0,18985500","-0,36576812","-0,96238358","-0,47680652","1,13459813"
"0,19979400","-0,33023817","-1,18514612","-0,51022570","1,33190046"
"0,20973200","-0,17332229","-1,06789863","0,17567199","1,09604231"
"0,21967100","-0,06754165","-1,06549747","0,54809285","1,20010521"
"0,22960900","-0,12535778","-1,10983720","0,49220750","1,22054144"
"0,23954700","-0,18206344","-1,11500818","0,72925947","1,34469689"
"0,24948600","-0,19430288","-1,12129219","1,04676328","1,54620928"
"0,25942400","-0,12200021","-1,16605350","1,20981932","1,68470401"
"0,26936300","-0,11093293","-1,31134131","1,33656883","1,87572343"
"0,27930100","-0,15000592","-1,52584700","1,34271484","2,03803680"
"0,28923900","-0,14350511","-1,74224222","1,37848518","2,22625764"
"0,29917800","0,13717177","-1,85479148","0,79753098","2,02364107"
"0,30911600","0,03204760","-1,57249814","-2,94888359","3,34210889"
"0,31905500","-0,17720753","-1,34186758","-4,76569477","4,95417578"
"0,32899300","-0,33856636","-2,06406274","-3,55353772","4,12342243"
"0,33893100","-0,56546858","-1,40142059","1,22733057","1,94681142"
"0,34887000","0,14592929","-0,82282750","4,93301986","5,00330145"
