link,etichetta
https://drive.google.com/file/d/1-TlLnPW8-03ZErVutmOmnH2TNzoC21Qt/view?usp=drive_link,Nautilus di carta
https://drive.google.com/file/d/1VbdsZR8tJquJyyVZwZgTuwXaBT4X-V6-/view?usp=drive_link,Cypraea tigris 
https://drive.google.com/file/d/1iThLKivt7ZhpZmbU8tz-3VWozR9kCVLu/view?usp=drive_link,Pinna Nobilis
https://drive.google.com/file/d/1WnIjgCgco92QtTk4ldgrVXU9w_Pv4wtX/view?usp=drive_link,Strombus pugilis
https://drive.google.com/file/d/10DBM69I70me4h-8Hu1YRI0ALNnDqkdfT/view?usp=drive_link,Tonna galea
https://drive.google.com/file/d/1VPBTcFLGNlaESy7WgZ9Q1T2-xrT8BfQn/view?usp=drive_link,Unio pictorum
https://drive.google.com/file/d/1tBJwThJYiFnP452tDbdEcB036RJHjP08/view?usp=drive_link,Porcellana platycheles
https://drive.google.com/file/d/1qYP0noQ0eLrEv_hMvSCO-w2Pp_pyUWLH/view?usp=drive_link,Canis Lupus
https://drive.google.com/file/d/19CxPENoHK8Gek5hUNyesoWn5HaMSqrXo/view?usp=drive_link,Cercopithecus
https://drive.google.com/file/d/1P5b7_G11HGb8-8-Sh_L99mjIv8di3o38/view?usp=drive_link,Didelphis marsupialis
https://drive.google.com/file/d/1s4h5L7hg3TMGa_-ebP7HWSKfRLZ8x7Ji/view?usp=drive_link,Elyomis quercinus
https://drive.google.com/file/d/1Y2rfqmZc4xWA5cReN0oD-ANq9bxZK9pJ/view?usp=drive_link,Erinaceus europaeus 
https://drive.google.com/file/d/1a9N7f3IKKEUVN7OCC5XehkzMTRFN5xPt/view?usp=drive_link,Felis catus
https://drive.google.com/file/d/1t8P5UDnwItTbmUXGjHx3VFojNQpiniqX/view?usp=drive_link,Homo sapiens feto
https://drive.google.com/file/d/1FXQPCX6uNEv-kwv8AqGOLNKtkMi7KNpB/view?usp=drive_link,Macropus gigantescus
https://drive.google.com/file/d/1zKhHGqDs6vZnl8e6CKQ1nToi2SzVcQ_m/view?usp=drive_link,Mustela nivalis
https://drive.google.com/file/d/1riJYUeEMAnb2Pdy9bFQ8rKEjjl7W0BrL/view?usp=drive_link,Ornithorynchus anatinus
https://drive.google.com/file/d/1UBAD3dtW4ZdXaDartsy7-bCuArANlDf8/view?usp=drive_link,Oryctolagus cuniculus ossicini orecchio
https://drive.google.com/file/d/1f3vxO3nw8pBIfc0UvkdFSi0bBSLzT0jy/view?usp=drive_link,Oryctolagus cuniculus
https://drive.google.com/file/d/1HOsb8uaqpHZop95ESiViwFaL97Hs76Tr/view?usp=drive_link,Rattus norvegicus
https://drive.google.com/file/d/1HRObsURTJQlep3DbtoOZOt8gE784_Tue/view?usp=drive_link,Rattus norvegicus app.circol. e digerente
https://drive.google.com/file/d/1tHzuV6YvrK5V_QX8QsBwtx1bmPfrcASu/view?usp=drive_link,Talpa caeca
https://drive.google.com/file/d/1VtahB_0hDmtgOnyzTxa4-JBYgzd7FFkV/view?usp=drive_link,Vespertilio murinus
https://drive.google.com/file/d/1z2mDQXbvGu_XCRA4WWx80B4wljqY7ArT/view?usp=drive_link,Lepus timidus
https://drive.google.com/file/d/14c6BUvDVwpr9tSgMsg62B8D0HvRboacI/view?usp=drive_link,Scirus vulgaris
https://drive.google.com/file/d/1DucWQ9HAyRHZrFuBARmKmRWa98U9RTnI/view?usp=drive_link,Lepus timidus cranio
https://drive.google.com/file/d/1UtqY7APpJPesnb1gjF-8P7f4X8K5nMc-/view?usp=drive_link,Megatherium
https://drive.google.com/file/d/1z2mDQXbvGu_XCRA4WWx80B4wljqY7ArT/view?usp=drive_link,Lepidus timidus apparato uro-genitale
https://drive.google.com/file/d/1wC4WSuPzOtt9zOmCLV96Uv9mn_7FnSJa/view?usp=drive_link,Tamandua mexicana
https://drive.google.com/file/d/1X40HFUtJ24gYgOMy_Qu68SLYfvIE_xTV/view?usp=drive_link,Dattero di mare 
https://drive.google.com/file/d/1P9tTtohOVvD9G0QDpD0H6aEXmQ_XHnxL/view?usp=drive_link,Gasteropodi terrestri
https://drive.google.com/file/d/1ut9d8IzmbJmNszrPnU6oKMYxcFOvqC_c/view?usp=drive_link,Eledone cirrhosa
https://drive.google.com/file/d/12MMaDPBMTNbT0vz12t2R_pAMhMix61l-/view?usp=drive_link,Nautilus
https://drive.google.com/file/d/119WA_CD2dWaaa_k1XriM2i2nY2Rm69z2/view?usp=drive_link,Ostrea edulis 
https://drive.google.com/file/d/1l6fO_tz5ewBNgA0gkGAVJTNivue0zs2v/view?usp=drive_link,Patella coerulea
https://drive.google.com/file/d/1HM-yUNbyWcQprfr_pLaVS1NEdJ6qrg5I/view?usp=drive_link,Octopus vulgaris
https://drive.google.com/file/d/1o28D3aYndT6YPsVSiPEfF0iMdsTGJNNl/view?usp=drive_link,Sepia officinalis
https://drive.google.com/file/d/1sAiwywkSCPI7-SMLlHO6lg48d3SiJCAl/view?usp=drive_link,Conchiglia di mare
https://drive.google.com/file/d/1cSS0_sU3QudAg5TDIuOY1RF126_VYn8I/view?usp=drive_link,Cavolinia
https://drive.google.com/file/d/1vpOp5iQGs1903cV0RF7vZ4f-Jokeg70_/view?usp=drive_link,Haliotis Linneaus
https://drive.google.com/file/d/1HN1OmsptbrjMg6vB-fACY8xGRkEeHA9q/view?usp=drive_link,Pinctada margaritifera
https://drive.google.com/file/d/1vnKVWivMU2mfIv6wEHyxh7dt6nGrWwEv/view?usp=drive_link,Pholas dactilus
