link,etichetta
https://drive.google.com/file/d/1-TlLnPW8-03ZErVutmOmnH2TNzoC21Qt/view?usp=drive_link,Nautilus di carta
https://drive.google.com/file/d/1VbdsZR8tJquJyyVZwZgTuwXaBT4X-V6-/view?usp=drive_link,Cypraea tigris 
https://drive.google.com/file/d/1iThLKivt7ZhpZmbU8tz-3VWozR9kCVLu/view?usp=drive_link,Pinna Nobilis
https://drive.google.com/file/d/1WnIjgCgco92QtTk4ldgrVXU9w_Pv4wtX/view?usp=drive_link,Strombus pugilis
https://drive.google.com/file/d/10DBM69I70me4h-8Hu1YRI0ALNnDqkdfT/view?usp=drive_link,Tonna galea
https://drive.google.com/file/d/1VPBTcFLGNlaESy7WgZ9Q1T2-xrT8BfQn/view?usp=drive_link,Unio pictorum
https://drive.google.com/file/d/1tBJwThJYiFnP452tDbdEcB036RJHjP08/view?usp=drive_link,Porcellana platycheles
https://drive.google.com/file/d/1qYP0noQ0eLrEv_hMvSCO-w2Pp_pyUWLH/view?usp=drive_link,Canis Lupus
https://drive.google.com/file/d/19CxPENoHK8Gek5hUNyesoWn5HaMSqrXo/view?usp=drive_link,Cercopithecus
https://drive.google.com/file/d/1P5b7_G11HGb8-8-Sh_L99mjIv8di3o38/view?usp=drive_link,Didelphis marsupialis
https://drive.google.com/file/d/1s4h5L7hg3TMGa_-ebP7HWSKfRLZ8x7Ji/view?usp=drive_link,Elyomis quercinus
https://drive.google.com/file/d/1Y2rfqmZc4xWA5cReN0oD-ANq9bxZK9pJ/view?usp=drive_link,Erinaceus europaeus 
https://drive.google.com/file/d/1a9N7f3IKKEUVN7OCC5XehkzMTRFN5xPt/view?usp=drive_link,Felis catus
https://drive.google.com/file/d/1t8P5UDnwItTbmUXGjHx3VFojNQpiniqX/view?usp=drive_link,Homo sapiens feto
https://drive.google.com/file/d/1GwvTUFRB_05dP9pru1f3V56u8QIXVOoB/view?usp=drive_link,Lepus timidus
https://drive.google.com/file/d/1ywboXmZ66LsIoMumpZirA_evmoyQTL6t/view?usp=drive_link,Lepus timidus cranio
https://drive.google.com/file/d/15MvMmqqQDOpQbmm4_pCPjUTtsX3MIsx2/view?usp=drive_link,Lepus timidus app. uro-genitale
https://drive.google.com/file/d/1FXQPCX6uNEv-kwv8AqGOLNKtkMi7KNpB/view?usp=drive_link,Macropus gigantescus
https://drive.google.com/file/d/1bW5n3xslJRjNf843jBdx9wH-FUpUD6Jr/view?usp=drive_link,Megatherium
https://drive.google.com/file/d/1zKhHGqDs6vZnl8e6CKQ1nToi2SzVcQ_m/view?usp=drive_link,Mustela nivalis
https://drive.google.com/file/d/1riJYUeEMAnb2Pdy9bFQ8rKEjjl7W0BrL/view?usp=drive_link,Ornithorynchus anatinus
https://drive.google.com/file/d/1UBAD3dtW4ZdXaDartsy7-bCuArANlDf8/view?usp=drive_link,Oryctolagus cuniculus ossicini orecchio
https://drive.google.com/file/d/1f3vxO3nw8pBIfc0UvkdFSi0bBSLzT0jy/view?usp=drive_link,Oryctolagus cuniculus
https://drive.google.com/file/d/1HOsb8uaqpHZop95ESiViwFaL97Hs76Tr/view?usp=drive_link,Rattus norvegicus
https://drive.google.com/file/d/1HRObsURTJQlep3DbtoOZOt8gE784_Tue/view?usp=drive_link,Rattus norvegicus app.circol. e digerente
https://drive.google.com/file/d/1LS5Cyj9TsksS043AXVGun-3GSfp2FG6s/view?usp=drive_link,Sciurus vulgaris
https://drive.google.com/file/d/1tHzuV6YvrK5V_QX8QsBwtx1bmPfrcASu/view?usp=drive_link,Talpa caeca
https://drive.google.com/file/d/1-RIpG2yMMwv-g1GjATDCfErOS3wlkOAh/view?usp=drive_link,Tamandua mexicana
https://drive.google.com/file/d/1VtahB_0hDmtgOnyzTxa4-JBYgzd7FFkV/view?usp=drive_link,Vespertilio murinus
